Date,Airline,Flight,From,To,Dep Terminal,Dep Gate,Arr Terminal,Arr Gate,Canceled,Diverted To,Gate Departure (Scheduled),Gate Departure (Actual),Take off (Scheduled),Take off (Actual),Landing (Scheduled),Landing (Actual),Gate Arrival (Scheduled),Gate Arrival (Actual),Aircraft Type Name,Tail Number,PNR,Seat,Seat Type,Cabin Class,Flight Reason,Notes,Flight Flighty ID,Airline Flighty ID,Departure Airport Flighty ID,Arrival Airport Flighty ID,Diverted To Airport Flighty ID,Aircraft Type Flighty ID
2023-10-19,DAL,1902,MSP,LGA,1,D2,C,74,false,,2023-10-19T19:57,2023-10-19T19:56,,,,,2023-10-19T23:44,2023-10-19T23:28,Airbus A321,,,,,,,,70215723-0f89-42c4-a7be-4f3909e7d1d1,a8765091-d043-44b1-936c-d217bb519e56,e6471588-a4ac-43ed-85de-adb08f1c3410,dfeb8457-3376-49f8-b542-dbeb2ec9f719,,5904cdc2-eccf-41fe-8345-e82a51d3269c
2023-10-28,AAL,428,LGA,DFW,B,12,A,A20,false,,2023-10-28T07:30,2023-10-28T07:21,,,,,2023-10-28T10:39,2023-10-28T10:40,Boeing 737-800,,,,,,,,7b437110-2d15-4a91-84de-e41f2778e0d4,ae1fc6a5-c42d-4e70-ba63-d641d248d270,dfeb8457-3376-49f8-b542-dbeb2ec9f719,1573100e-e4a3-47b0-9399-01b36074e1f5,,8ad8530e-acd0-42bf-abc5-1e70c4a076bf
2023-10-28,AAL,2834,DFW,SJC,C,C21,A,9,false,,2023-10-28T12:23,2023-10-28T12:26,,,,,2023-10-28T14:15,2023-10-28T14:12,Boeing 737-800,,,,,,,,77aadd56-3fcc-4184-b2f6-60e083e98f77,ae1fc6a5-c42d-4e70-ba63-d641d248d270,1573100e-e4a3-47b0-9399-01b36074e1f5,cdf0ec10-09ce-4bec-a0d0-f3e7511baae7,,8ad8530e-acd0-42bf-abc5-1e70c4a076bf
2023-11-07,AAL,2046,SJC,DFW,A,9,C,C4,false,,2023-11-07T11:55,2023-11-07T11:55,,,,,2023-11-07T17:23,2023-11-07T17:12,Boeing 737-800,,,,,,,,610d9445-572f-4d05-8fcd-40adfb32c253,ae1fc6a5-c42d-4e70-ba63-d641d248d270,cdf0ec10-09ce-4bec-a0d0-f3e7511baae7,1573100e-e4a3-47b0-9399-01b36074e1f5,,8ad8530e-acd0-42bf-abc5-1e70c4a076bf
2023-11-07,AAL,1726,DFW,LGA,B,B6,B,17,false,,2023-11-07T19:18,2023-11-07T19:15,,,,,2023-11-07T23:45,2023-11-07T23:37,Boeing 737-800,,,,,,,,98ff5b5f-921e-4b8e-a075-1d7fa71529f9,ae1fc6a5-c42d-4e70-ba63-d641d248d270,1573100e-e4a3-47b0-9399-01b36074e1f5,dfeb8457-3376-49f8-b542-dbeb2ec9f719,,8ad8530e-acd0-42bf-abc5-1e70c4a076bf
2023-12-17,AAL,1490,LGA,DFW,B,20,C,C4,false,,2023-12-17T07:30,2023-12-17T07:29,,,,,2023-12-17T10:52,2023-12-17T10:14,Boeing 737-800,,,,,,,,9a1fd32d-af41-43e3-a6ab-4fc034cec924,ae1fc6a5-c42d-4e70-ba63-d641d248d270,dfeb8457-3376-49f8-b542-dbeb2ec9f719,1573100e-e4a3-47b0-9399-01b36074e1f5,,8ad8530e-acd0-42bf-abc5-1e70c4a076bf
2023-12-17,AAL,2834,DFW,SJC,D,D20,A,9,false,,2023-12-17T11:43,2023-12-17T11:38,,,,,2023-12-17T13:36,2023-12-17T13:11,Boeing 737-800,,,,,,,,1df8e39d-29ca-4fa3-9f0f-cee4c34b73c8,ae1fc6a5-c42d-4e70-ba63-d641d248d270,1573100e-e4a3-47b0-9399-01b36074e1f5,cdf0ec10-09ce-4bec-a0d0-f3e7511baae7,,8ad8530e-acd0-42bf-abc5-1e70c4a076bf
2023-12-22,UAL,2013,SFO,MIA,2,D11,,H4,false,,2023-12-22T08:48,2023-12-22T08:51,,,,,2023-12-22T17:17,2023-12-22T17:07,Boeing 737 MAX 9,,,,,,,,2d090d98-b725-4272-94bc-4fc37138ca75,b57b4c86-4724-48f1-80be-d7de4036004a,9b0faf9d-6e26-44ce-88d6-f30a340ea2b7,2a44ac82-ae36-48d1-87c0-e8cbb31ce45f,,8240381a-dce7-4694-a1d8-4769a0c6507a
2023-12-29,UAL,1971,MIA,SFO,,H14,3,F19,false,,2023-12-29T18:23,2023-12-29T19:15,,,,,2023-12-29T21:53,2023-12-29T22:42,Boeing 737 MAX 8,,,,,,,,b4dcf1b8-f2f9-4a58-9239-a4f2b73c4c72,b57b4c86-4724-48f1-80be-d7de4036004a,2a44ac82-ae36-48d1-87c0-e8cbb31ce45f,9b0faf9d-6e26-44ce-88d6-f30a340ea2b7,,5ee1c1db-bf8c-475a-99b0-262bbc7a50b2
2024-01-09,AAL,2046,SJC,DFW,A,9,A,A25,false,,2024-01-09T12:07,2024-01-09T12:33,,,,,2024-01-09T17:34,2024-01-09T18:10,Boeing 737-800,,,,,,,,6e39f835-c667-44d0-9043-239da0fb48d5,ae1fc6a5-c42d-4e70-ba63-d641d248d270,cdf0ec10-09ce-4bec-a0d0-f3e7511baae7,1573100e-e4a3-47b0-9399-01b36074e1f5,,8ad8530e-acd0-42bf-abc5-1e70c4a076bf
2024-01-09,AAL,1726,DFW,LGA,D,D37,B,20,false,,2024-01-09T19:03,2024-01-09T19:00,,,,,2024-01-09T23:24,2024-01-09T23:35,Boeing 737-800,,,,,,,,1c8176e8-ca5e-41a8-916b-3802e8f01934,ae1fc6a5-c42d-4e70-ba63-d641d248d270,1573100e-e4a3-47b0-9399-01b36074e1f5,dfeb8457-3376-49f8-b542-dbeb2ec9f719,,8ad8530e-acd0-42bf-abc5-1e70c4a076bf
